"Statistic Label","Month","Type of Loan","UNIT","VALUE"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M09","Loans to non-financial corporations, including securitisations","%","-4.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M10","Loans to households, including securitisations","%","-4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M10","Loans to non-financial corporations, including securitisations","%","-4.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M11","Loans to households, including securitisations","%","-4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M11","Loans to non-financial corporations, including securitisations","%","-4.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M12","Loans to households, including securitisations","%","-3.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M12","Loans to non-financial corporations, including securitisations","%","-5.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M01","Loans to households, including securitisations","%","-3.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M01","Loans to non-financial corporations, including securitisations","%","-5.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M02","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M02","Loans to non-financial corporations, including securitisations","%","-5.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M03","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M03","Loans to non-financial corporations, including securitisations","%","-6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M04","Loans to households, including securitisations","%","-3.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M04","Loans to non-financial corporations, including securitisations","%","-5.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M05","Loans to households, including securitisations","%","-3.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M05","Loans to non-financial corporations, including securitisations","%","-4.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M06","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M06","Loans to non-financial corporations, including securitisations","%","-5.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M07","Loans to households, including securitisations","%","-3.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M07","Loans to non-financial corporations, including securitisations","%","-6.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M08","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M08","Loans to non-financial corporations, including securitisations","%","-6.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M09","Loans to households, including securitisations","%","-3.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M09","Loans to non-financial corporations, including securitisations","%","-7.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M10","Loans to households, including securitisations","%","-3.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M10","Loans to non-financial corporations, including securitisations","%","-6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M11","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M11","Loans to non-financial corporations, including securitisations","%","-5.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2014M12","Loans to households, including securitisations","%","-3.7"
